what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1275653262380
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1275653262380
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1275653262381
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1275653262382
os,sysinfo,,,"linux",1275653262386
arch,sysinfo,,,"x86",1275653262386
ws,sysinfo,,,"gtk",1275653262386
locale,sysinfo,,,"en_US",1275653262386
processors,sysinfo,,,"1",1275653262386
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1275653262386
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1275653262386
java.specification.name,sysinfo,,,"Java Platform API Specification",1275653262386
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1275653262386
java.specification.version,sysinfo,,,"1.6",1275653262386
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1275653262386
java.version,sysinfo,,,"1.6.0_14",1275653262386
java.vm.info,sysinfo,,,"mixed mode, sharing",1275653262386
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1275653262386
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1275653262386
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1275653262386
java.vm.specification.version,sysinfo,,,"1.0",1275653262386
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1275653262386
java.vm.version,sysinfo,,,"14.0-b16",1275653262386
started,bundle,org.eclipse.cdt.managedbuilder.ui,5.1.0.200906161748,"org.eclipse.cdt.managedbuilder.ui",1275653267932
started,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.200906161748,"org.eclipse.cdt.managedbuilder.core",1275653268071
