what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1275653365752
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1275653365753
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1275653365754
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1275653365760
os,sysinfo,,,"linux",1275653365765
arch,sysinfo,,,"x86",1275653365765
ws,sysinfo,,,"gtk",1275653365765
locale,sysinfo,,,"en_US",1275653365765
processors,sysinfo,,,"1",1275653365765
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1275653365765
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1275653365765
java.specification.name,sysinfo,,,"Java Platform API Specification",1275653365765
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1275653365765
java.specification.version,sysinfo,,,"1.6",1275653365765
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1275653365765
java.version,sysinfo,,,"1.6.0_14",1275653365765
java.vm.info,sysinfo,,,"mixed mode, sharing",1275653365765
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1275653365765
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1275653365765
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1275653365765
java.vm.specification.version,sysinfo,,,"1.0",1275653365765
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1275653365765
java.vm.version,sysinfo,,,"14.0-b16",1275653365765
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275653380910
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1275653393572
