what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275653393590
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275653395143
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275653396973
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275653408344
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275653412355
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275653412641
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275653422021
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275653439678
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1275653469132
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200906161748,"org.eclipse.cdt.debug.mi.ui",1275653469774
stopped,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200906161748,"org.eclipse.cdt.debug.mi.core",1275653469775
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.0.0.200906161748,"org.eclipse.cdt.dsf.gdb.ui",1275653469776
stopped,bundle,org.eclipse.cdt.dsf.ui,2.0.0.200906161748,"org.eclipse.cdt.dsf.ui",1275653469778
stopped,bundle,org.eclipse.cdt.launch,6.0.0.200906161748,"org.eclipse.cdt.launch",1275653469778
stopped,bundle,org.eclipse.cdt.debug.ui,6.0.0.200906161748,"org.eclipse.cdt.debug.ui",1275653469782
stopped,bundle,org.eclipse.cdt.dsf.gdb,2.0.0.200906161748,"org.eclipse.cdt.dsf.gdb",1275653469783
stopped,bundle,org.eclipse.cdt.dsf,2.0.0.200906161748,"org.eclipse.cdt.dsf",1275653469784
stopped,bundle,org.eclipse.cdt.debug.core,6.0.0.200906161748,"org.eclipse.cdt.debug.core",1275653469785
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.1.0.200906161748,"org.eclipse.cdt.managedbuilder.ui",1275653469786
stopped,bundle,org.eclipse.cdt.make.ui,6.0.0.200906161748,"org.eclipse.cdt.make.ui",1275653469794
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.100.200906161748,"org.eclipse.cdt.managedbuilder.gnu.ui",1275653469795
stopped,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.200906161748,"org.eclipse.cdt.managedbuilder.core",1275653469796
stopped,bundle,org.eclipse.cdt.make.core,6.0.0.200906161748,"org.eclipse.cdt.make.core",1275653469798
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.0.100.200906161748,"org.eclipse.cdt.mylyn.ui",1275653469798
stopped,bundle,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui",1275653469819
